station_id,compliance_2021
163,1
167,0
171,1
174,1
178,1
180,0
185,0
195,1
209,0
230,0
231,1
232,1
234,0
239,0
240,1
252,0
259,0
266,1
272,0
285,1
289,1
291,0
306,1
309,0
311,1
319,0
320,1
323,1
325,1
329,1
340,1
353,1
371,1
372,0
377,1
379,1
385,1
387,0
397,1
398,1
400,0
402,1
415,1
419,0
422,0
443,0
447,1
453,0
455,0
460,1
472,1
479,0
492,0
493,0
501,0
517,1
520,0
522,0
526,0
532,1
534,1
535,0
540,0
541,1
543,1
549,1
551,0
559,0
583,1
586,0
591,1
596,1
598,1
600,0
603,1
607,1
611,1
624,1
637,0
638,1
653,1
656,1
659,1
690,1
692,1
697,1
707,1
724,1
740,1
749,0
758,1
759,1
762,0
770,0
771,1
780,1
784,0
801,1
804,1
833,1
834,1
835,1
837,1
849,0
867,1
878,0
887,0
896,0
898,1
899,0
900,1
903,0
912,1
916,1
925,1
931,1
937,1
954,1
967,0
978,1
984,1
985,0
986,1
988,1
993,1
1029,1
1034,1
1038,1
1045,1
1050,1
1072,1
1076,1
1078,0
1087,0
1097,1
1102,0
1104,1
1106,0
1112,1
1122,1
1131,0
1139,1
1144,1
1145,1
1146,1
1161,1
1187,1
1214,0
1217,1
1222,1
1225,1
1232,1
1233,0
1244,1
1246,1
1247,1
1265,1
1284,0
1296,0
1324,1
1325,1
1326,0
1328,0
1412,1
1439,1
1443,1
1449,1
1459,1
1463,1
1484,1
1492,1
1523,1
1535,1
1566,1
1665,1
1686,0
1738,1
1755,1
1788,1
1809,1
1902,1
1913,1
1922,1
1935,1
1941,1
2087,1
2206,1
2303,1
2307,1
